高血压, 脑出血
高血压, 脑血栓形成
高血压, 腔隙性脑梗死
高血压, 短暂性脑缺血发作
高血压, 心力衰竭
高血压, 冠心病
高血压, 慢性肾衰竭
高血压, 主动脉夹层
ST段抬高型心肌梗死, 心律失常
ST段抬高型心肌梗死, 心力衰竭
ST段抬高型心肌梗死, 休克
ST段抬高型心肌梗死, 低血压
ST段抬高型心肌梗死, 乳头肌功能失调/断裂
ST段抬高型心肌梗死, 心室游离壁破裂
ST段抬高型心肌梗死, 室间隔穿孔
ST段抬高型心肌梗死, 心室壁瘤
ST段抬高型心肌梗死, 栓塞
ST段抬高型心肌梗死, 心肌梗死后综合征
二尖瓣狭窄, 房颤
二尖瓣狭窄, 急性肺水肿
二尖瓣狭窄, 血栓栓塞
二尖瓣狭窄, 右心衰
二尖瓣狭窄, 肺部感染
二尖瓣狭窄, 感染性心内膜炎
二尖瓣关闭不全, 房颤
二尖瓣关闭不全, 感染性心内膜炎
二尖瓣关闭不全, 体循环栓塞
二尖瓣关闭不全, 心衰
主动脉瓣狭窄, 心律失常
主动脉瓣狭窄, 猝死
主动脉瓣狭窄, 感染性心内膜炎
主动脉瓣狭窄, 体循环栓塞
主动脉瓣狭窄, 心衰
主动脉瓣狭窄, 胃肠道出血
主动脉瓣关闭不全, 感染性心内膜炎
主动脉瓣关闭不全, 室性心律失常
主动脉瓣关闭不全, 心衰
主动脉瓣关闭不全, 心脏性猝死
主动脉瓣关闭不全, 血栓事件
三尖瓣关闭不全, 右心衰
三尖瓣关闭不全, 房颤
三尖瓣关闭不全, 肺栓塞
感染性心内膜炎, 心衰
感染性心内膜炎, 心肌脓肿
感染性心内膜炎, 心包炎
感染性心内膜炎, 心肌炎
感染性心内膜炎, 动脉栓塞
感染性心内膜炎, 细菌性动脉瘤
感染性心内膜炎, 转移性感染
感染性心内膜炎, 脑栓塞
感染性心内膜炎, 脑膜炎
感染性心内膜炎, 脑出血
感染性心内膜炎, 细菌性动静瘤
感染性心内膜炎, 脑脓肿
感染性心内膜炎, 癫痫样发作
感染性心内膜炎, 肾动脉栓塞
感染性心内膜炎, 肾炎
感染性心内膜炎, 肾脓肿
主动脉夹层, 急性左心衰
主动脉夹层, 急性心肌梗死
主动脉夹层, 心脏填塞
主动脉夹层, 急性肾衰竭
主动脉夹层, 主动脉瓣关闭不全
